"flight_id","arrival_airport","actual_departure","actual_arrival","aircraft_model","seats_per_craft","fuel_consumption","fuel_price_by_month","flight_income","sold_tickets","flight_cost","pnl","rn","flight_occupancy"
136642,"EGO","2017-01-30 09:28:00+00","2017-01-30 10:17:00+00","Sukhoi Superjet-100",97,1.7,41435,531000.00,64,57526,473474.00,1,65
136807,"EGO","2017-02-23 09:28:00+00","2017-02-23 10:18:00+00","Sukhoi Superjet-100",97,1.7,39553,531000.00,68,56033,474967.00,2,70
136844,"EGO","2017-02-28 09:26:00+00","2017-02-28 10:16:00+00","Sukhoi Superjet-100",97,1.7,39553,575100.00,79,56033,519067.00,3,81
136887,"EGO","2017-01-20 09:30:00+00","2017-01-20 10:19:00+00","Sukhoi Superjet-100",97,1.7,41435,595200.00,78,57526,537674.00,4,80
136922,"EGO","2017-02-11 09:27:00+00","2017-02-11 10:17:00+00","Sukhoi Superjet-100",97,1.7,39553,607800.00,76,56033,551767.00,5,78
136620,"EGO","2017-02-17 09:30:00+00","2017-02-17 10:19:00+00","Sukhoi Superjet-100",97,1.7,39553,613500.00,79,54913,558587.00,6,81
136823,"EGO","2017-02-05 09:27:00+00","2017-02-05 10:18:00+00","Sukhoi Superjet-100",97,1.7,39553,620400.00,78,57154,563246.00,7,80
136937,"EGO","2017-01-03 09:29:00+00","2017-01-03 10:19:00+00","Sukhoi Superjet-100",97,1.7,41435,626100.00,81,58700,567400.00,8,83
136888,"EGO","2017-02-14 09:29:00+00","2017-02-14 10:19:00+00","Sukhoi Superjet-100",97,1.7,39553,626100.00,79,56033,570067.00,9,81
136678,"EGO","2017-01-28 09:27:00+00","2017-01-28 10:17:00+00","Sukhoi Superjet-100",97,1.7,41435,631200.00,80,58700,572500.00,10,82
136645,"EGO","2017-01-05 09:29:00+00","2017-01-05 10:20:00+00","Sukhoi Superjet-100",97,1.7,41435,633000.00,82,59874,573126.00,11,84
136936,"EGO","2017-01-02 09:28:00+00","2017-01-02 10:18:00+00","Sukhoi Superjet-100",97,1.7,41435,632400.00,82,58700,573700.00,12,84
136929,"EGO","2016-12-31 09:25:00+00","2016-12-31 10:15:00+00","Sukhoi Superjet-100",97,1.7,38867,631800.00,82,55062,576738.00,13,84
136843,"EGO","2016-12-04 09:30:00+00","2016-12-04 10:20:00+00","Sukhoi Superjet-100",97,1.7,38867,632400.00,78,55062,577338.00,14,80
136609,"EGO","2017-01-08 09:28:00+00","2017-01-08 10:18:00+00","Sukhoi Superjet-100",97,1.7,41435,639300.00,81,58700,580600.00,15,83
136800,"EGO","2016-12-09 09:27:00+00","2016-12-09 10:18:00+00","Sukhoi Superjet-100",97,1.7,38867,645000.00,82,56163,588837.00,16,84
136767,"EGO","2017-01-23 09:27:00+00","2017-01-23 10:18:00+00","Sukhoi Superjet-100",97,1.7,41435,651300.00,83,59874,591426.00,17,85
136771,"EGO","2016-12-17 09:26:00+00","2016-12-17 10:15:00+00","Sukhoi Superjet-100",97,1.7,38867,657000.00,82,53960,603040.00,18,84
136666,"EGO","2017-02-09 09:26:00+00","2017-02-09 10:16:00+00","Sukhoi Superjet-100",97,1.7,39553,664500.00,87,56033,608467.00,19,89
136838,"EGO","2017-01-24 09:30:00+00","2017-01-24 10:21:00+00","Sukhoi Superjet-100",97,1.7,41435,670200.00,86,59874,610326.00,20,88
136702,"EGO","2016-12-23 09:26:00+00","2016-12-23 10:16:00+00","Sukhoi Superjet-100",97,1.7,38867,670800.00,84,55062,615738.00,21,86
136911,"EGO","2016-12-12 13:05:00+00","2016-12-12 13:55:00+00","Sukhoi Superjet-100",97,1.7,38867,676500.00,87,55062,621438.00,22,89
136592,"EGO","2016-12-25 09:28:00+00","2016-12-25 10:18:00+00","Sukhoi Superjet-100",97,1.7,38867,677100.00,89,55062,622038.00,23,91
